Year,State,Population,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft,Violent Crime Rate,Murder and Nonnegligent Manslaughter Rate,Rape Rate,Robbery Rate,Aggravated Assault Rate,Property Crime Rate,Burglary Rate,Larceny-Theft Rate,Motor Vechicle Theft Rate
"2012","New York","19,576,125","79,535","683","2,837","28,633","47,382","375,268","64,389","293,562","17,317","406.3","3.5","14.5","146.3","242.0","1,917.0","328.9","1,499.6","88.5"
"2013","New York","19,695,680","77,563","644","2,575","27,241","46,130","358,603","56,444","286,676","15,483","393.8","3.3","13.1","138.3","234.2","1,820.7","286.6","1,455.5","78.6"
"2014","New York","19,746,227","75,398","617","3,918","24,045","45,303","339,282","50,781","272,765","15,736","381.8","3.1","19.8","121.8","229.4","1,718.2","257.2","1,381.4","79.7"
"2001","North Carolina","8,206,105","40,465","505","2,083","13,304","24,573","363,777","101,889","237,241","24,647","493.1","6.2","25.4","162.1","299.4","4,433.0","1,241.6","2,891.0","300.3"
"2002","North Carolina","8,305,820","39,118","548","2,196","12,205","24,169","353,708","99,535","229,307","24,866","471.0","6.6","26.4","146.9","291.0","4,258.6","1,198.4","2,760.8","299.4"
"2003","North Carolina","8,421,190","38,243","506","2,139","12,229","23,369","359,660","100,687","232,081","26,892","454.1","6.0","25.4","145.2","277.5","4,270.9","1,195.6","2,755.9","319.3"
"2004","North Carolina","8,540,468","38,244","532","2,339","11,782","23,591","355,328","101,193","227,147","26,988","447.8","6.2","27.4","138.0","276.2","4,160.5","1,184.9","2,659.7","316.0"
"2005","North Carolina","8,672,459","40,650","585","2,302","12,635","25,128","353,855","104,298","221,091","28,466","469.0","6.7","26.5","145.7","289.7","4,080.0","1,202.6","2,549.0","328.0"
"2006","North Carolina","8,856,505","42,088","539","2,495","13,468","25,586","364,549","107,333","227,114","30,102","475.2","6.1","28.2","152.1","288.9","4,116.2","1,211.9","2,564.4","339.9"
"2007","North Carolina","9,061,032","42,231","584","2,386","13,534","25,727","369,893","108,700","233,241","27,952","466.1","6.4","26.3","149.4","283.9","4,082.2","1,199.6","2,574.1","308.5"
"2008","North Carolina","9,222,414","43,125","599","2,296","14,323","25,907","372,763","111,556","234,480","26,727","467.6","6.5","24.9","155.3","280.9","4,041.9","1,209.6","2,542.5","289.8"
"2009","North Carolina","9,380,884","37,946","489","2,306","11,825","23,326","343,707","107,830","215,923","19,954","404.5","5.2","24.6","126.1","248.7","3,663.9","1,149.5","2,301.7","212.7"
"2010","North Carolina","9,560,234","34,679","474","2,002","9,620","22,583","329,202","102,826","208,057","18,319","362.7","5.0","20.9","100.6","236.2","3,443.5","1,075.6","2,176.3","191.6"
"2011","North Carolina","9,651,103","33,421","498","1,959","9,448","21,516","337,806","105,534","215,453","16,819","346.3","5.2","20.3","97.9","222.9","3,500.2","1,093.5","2,232.4","174.3"
"2012","North Carolina","9,748,364","34,464","479","1,984","9,392","22,609","328,594","99,323","213,151","16,120","353.5","4.9","20.4","96.3","231.9","3,370.8","1,018.9","2,186.5","165.4"
"2013","North Carolina","9,848,917","33,587","463","1,790","9,275","21,325","305,631","90,182","201,043","14,406","341.0","4.7","18.2","94.2","216.5","3,103.2","915.7","2,041.3","146.3"
"2014","North Carolina","9,943,964","32,767","510","1,740","8,416","21,421","285,697","79,373","192,694","13,630","329.5","5.1","17.5","84.6","215.4","2,873.1","798.2","1,937.8","137.1"
"2001","North Dakota","636,550","505","7","164","60","274","14,834","2,165","11,583","1,086","79.3","1.1","25.8","9.4","43.0","2,330.4","340.1","1,819.7","170.6"
"2002","North Dakota","633,911","496","5","163","58","270","14,762","2,243","11,501","1,018","78.2",".8","25.7","9.1","42.6","2,328.7","353.8","1,814.3","160.6"
"2003","North Dakota","633,400","508","9","160","53","286","13,364","1,959","10,327","1,078","80.2","1.4","25.3","8.4","45.2","2,109.9","309.3","1,630.4","170.2"
"2004","North Dakota","636,308","558","8","177","43","330","12,493","2,040","9,516","937","87.7","1.3","27.8","6.8","51.9","1,963.4","320.6","1,495.5","147.3"
"2005","North Dakota","634,605","706","12","180","54","460","12,848","2,043","9,732","1,073","111.0","1.9","28.4","8.5","72.5","2,025.0","321.9","1,534.0","169.0"
"2006","North Dakota","635,867","1,255","14","241","75","925","13,359","2,601","9,672","1,086","197.4","2.2","37.9","11.8","145.5","2,100.9","409.0","1,521.1","170.8"
"2007","North Dakota","639,715","1,343","17","252","75","999","12,796","2,314","9,500","982","209.9","2.7","39.4","11.7","156.2","2,000.3","361.7","1,485.0","153.5"
"2008","North Dakota","641,481","1,441","11","331","73","1,026","13,029","2,336","9,782","911","224.6","1.7","51.6","11.4","159.9","2,031.1","364.2","1,524.9","142.0"
"2009","North Dakota","646,844","1,723","12","296","107","1,308","12,813","2,426","9,474","913","266.4","1.9","45.8","16.5","202.2","1,980.8","375.1","1,464.6","141.1"
"2010","North Dakota","674,629","1,548","10","245","90","1,203","12,010","2,000","9,137","873","229.5","1.5","36.3","13.3","178.3","1,780.2","296.5","1,354.4","129.4"
"2011","North Dakota","684,740","1,699","24","266","91","1,318","13,334","2,458","9,891","985","248.1","3.5","38.8","13.3","192.5","1,947.3","359.0","1,444.5","143.9"
"2012","North Dakota","701,345","1,723","25","279","127","1,292","14,297","2,429","10,687","1,181","245.7","3.6","39.8","18.1","184.2","2,038.5","346.3","1,523.8","168.4"
"2013","North Dakota","723,857","1,979","16","288","161","1,447","15,356","2,979","10,942","1,435","273.4","2.2","39.8","22.2","199.9","2,121.4","411.5","1,511.6","198.2"
"2014","North Dakota","739,482","1,960","22","276","173","1,407","15,605","2,707","11,384","1,514","265.1","3.0","37.3","23.4","190.3","2,110.3","366.1","1,539.5","204.7"
"2001","Ohio","11,389,785","40,023","452","4,466","17,199","17,906","435,115","96,910","295,976","42,229","351.4","4.0","39.2","151.0","157.2","3,820.2","850.9","2,598.6","370.8"
"2002","Ohio","11,408,699","40,128","526","4,809","17,871","16,922","428,976","99,164","287,045","42,767","351.7","4.6","42.2","156.6","148.3","3,760.1","869.2","2,516.0","374.9"
"2003","Ohio","11,437,680","38,185","526","4,660","16,895","16,104","417,483","95,083","281,383","41,017","333.9","4.6","40.7","147.7","140.8","3,650.1","831.3","2,460.1","358.6"
"2004","Ohio","11,450,143","38,787","506","4,744","17,429","16,108","419,337","96,518","282,168","40,651","338.7","4.4","41.4","152.2","140.7","3,662.3","842.9","2,464.3","355.0"
"2005","Ohio","11,470,685","40,162","590","4,671","18,673","16,228","420,705","100,183","279,051","41,471","350.0","5.1","40.7","162.8","141.5","3,668.0","873.4","2,433.0","362.0"
"2006","Ohio","11,478,006","41,491","560","4,770","19,418","16,743","423,334","105,639","279,718","37,977","361.5","4.9","41.6","169.2","145.9","3,688.2","920.4","2,437.0","330.9"
"2007","Ohio","11,466,917","40,759","529","4,661","18,351","17,218","397,681","99,049","264,677","33,955","355.4","4.6","40.6","160.0","150.2","3,468.1","863.8","2,308.2","296.1"
"2008","Ohio","11,485,910","40,436","547","4,531","18,706","16,652","391,667","102,428","260,788","28,451","352.0","4.8","39.4","162.9","145.0","3,410.0","891.8","2,270.5","247.7"
"2009","Ohio","11,542,645","38,305","527","4,119","17,670","15,989","376,446","104,009","249,777","22,660","331.9","4.6","35.7","153.1","138.5","3,261.3","901.1","2,163.9","196.3"
"2010","Ohio","11,537,968","36,306","479","3,730","16,486","15,611","376,836","107,125","248,581","21,130","314.7","4.2","32.3","142.9","135.3","3,266.1","928.5","2,154.5","183.1"
"2011","Ohio","11,541,007","35,218","500","3,679","15,991","15,048","380,572","112,901","246,744","20,927","305.2","4.3","31.9","138.6","130.4","3,297.6","978.3","2,138.0","181.3"
"2012","Ohio","11,553,031","34,827","478","3,813","15,396","15,140","370,435","105,312","245,372","19,751","301.5","4.1","33.0","133.3","131.0","3,206.4","911.6","2,123.9","171.0"
"2013","Ohio","11,572,005","33,722","478","3,594","14,483","14,370","338,414","91,090","227,799","19,525","291.4","4.1","31.1","125.2","124.2","2,924.4","787.2","1,968.5","168.7"
"2014","Ohio","11,594,163","33,030","464","4,097","12,753","14,771","324,528","78,845","227,668","18,015","284.9","4.0","35.3","110.0","127.4","2,799.1","680.0","1,963.6","155.4"
"2001","Oklahoma","3,469,577","17,726","185","1,486","2,746","13,309","141,679","34,573","94,537","12,569","510.9","5.3","42.8","79.1","383.6","4,083.5","996.5","2,724.7","362.3"
"2002","Oklahoma","3,489,700","17,587","163","1,573","2,966","12,885","148,128","35,171","100,185","12,772","504.0","4.7","45.1","85.0","369.2","4,244.7","1,007.9","2,870.9","366.0"
"2003","Oklahoma","3,506,469","17,758","206","1,501","3,224","12,827","151,208","34,846","103,404","12,958","506.4","5.9","42.8","91.9","365.8","4,312.3","993.8","2,948.9","369.5"
"2004","Oklahoma","3,523,546","17,635","186","1,557","3,090","12,802","149,472","35,244","101,271","12,957","500.5","5.3","44.2","87.7","363.3","4,242.1","1,000.2","2,874.1","367.7"
"2005","Oklahoma","3,543,442","18,044","187","1,481","3,230","13,146","143,406","35,692","93,814","13,900","509.0","5.3","41.8","91.2","371.0","4,047.0","1,007.3","2,648.0","392.0"
"2006","Oklahoma","3,579,212","17,905","210","1,488","3,145","13,062","129,728","34,437","81,853","13,438","500.2","5.9","41.6","87.9","364.9","3,624.5","962.1","2,286.9","375.4"
"2007","Oklahoma","3,617,316","18,234","224","1,565","3,392","13,053","128,714","34,367","80,747","13,600","504.1","6.2","43.3","93.8","360.8","3,558.3","950.1","2,232.2","376.0"
"2008","Oklahoma","3,642,361","19,359","215","1,471","3,698","13,975","126,535","35,247","80,265","11,023","531.5","5.9","40.4","101.5","383.7","3,474.0","967.7","2,203.7","302.6"
"2009","Oklahoma","3,687,050","18,560","234","1,535","3,358","13,433","132,350","38,071","83,813","10,466","503.4","6.3","41.6","91.1","364.3","3,589.6","1,032.6","2,273.2","283.9"
"2010","Oklahoma","3,760,184","18,100","195","1,469","3,345","13,091","129,464","37,848","81,303","10,313","481.4","5.2","39.1","89.0","348.1","3,443.0","1,006.5","2,162.2","274.3"
"2011","Oklahoma","3,784,163","17,311","212","1,410","3,288","12,401","127,618","36,462","80,064","11,092","457.5","5.6","37.3","86.9","327.7","3,372.4","963.5","2,115.8","293.1"
"2012","Oklahoma","3,815,780","18,102","220","1,622","3,248","13,012","130,969","36,094","83,131","11,744","474.4","5.8","42.5","85.1","341.0","3,432.3","945.9","2,178.6","307.8"
"2013","Oklahoma","3,853,118","17,187","198","1,715","3,023","11,652","126,418","33,512","81,624","11,282","446.1","5.1","44.5","78.5","302.4","3,280.9","869.7","2,118.4","292.8"
"2014","Oklahoma","3,878,051","15,744","175","1,277","3,048","10,744","115,982","29,508","75,891","10,583","406.0","4.5","32.9","78.6","277.0","2,990.7","760.9","1,956.9","272.9"
"2001","Oregon","3,473,441","10,650","84","1,174","2,749","6,643","164,524","26,648","123,034","14,842","306.6","2.4","33.8","79.1","191.3","4,736.6","767.2","3,542.1","427.3"
"2002","Oregon","3,520,355","10,298","72","1,238","2,742","6,246","161,145","25,696","118,925","16,524","292.5","2.0","35.2","77.9","177.4","4,577.5","729.9","3,378.2","469.4"
"2003","Oregon","3,564,330","10,506","68","1,218","2,847","6,373","169,863","28,562","122,327","18,974","294.8","1.9","34.2","79.9","178.8","4,765.6","801.3","3,432.0","532.3"
"2004","Oregon","3,591,363","10,724","90","1,283","2,751","6,600","166,475","30,072","117,868","18,535","298.6","2.5","35.7","76.6","183.8","4,635.4","837.3","3,282.0","516.1"
"2005","Oregon","3,638,871","10,444","80","1,266","2,478","6,620","160,199","27,621","113,316","19,262","287.0","2.2","34.8","68.1","181.9","4,402.0","759.1","3,114.0","529.0"
"2006","Oregon","3,700,758","10,534","88","1,219","2,711","6,516","137,858","24,324","98,897","14,637","284.6","2.4","32.9","73.3","176.1","3,725.1","657.3","2,672.3","395.5"
"2007","Oregon","3,747,455","11,015","76","1,276","2,864","6,799","132,773","22,979","95,157","14,637","293.9","2.0","34.0","76.4","181.4","3,543.0","613.2","2,539.2","390.6"
"2008","Oregon","3,790,060","9,909","87","1,183","2,656","5,983","125,169","21,115","92,677","11,377","261.4","2.3","31.2","70.1","157.9","3,302.6","557.1","2,445.3","300.2"
"2009","Oregon","3,825,657","9,968","88","1,202","2,499","6,179","114,780","19,739","85,064","9,977","260.6","2.3","31.4","65.3","161.5","3,000.3","516.0","2,223.5","260.8"
"2010","Oregon","3,838,332","9,648","96","1,239","2,421","5,892","116,657","20,035","87,494","9,128","251.4","2.5","32.3","63.1","153.5","3,039.3","522.0","2,279.5","237.8"
"2011","Oregon","3,868,229","9,643","84","1,239","2,237","6,083","121,869","20,704","92,059","9,106","249.3","2.2","32.0","57.8","157.3","3,150.5","535.2","2,379.9","235.4"
"2012","Oregon","3,899,801","9,638","91","1,159","2,419","5,969","126,417","22,051","94,114","10,252","247.1","2.3","29.7","62.0","153.1","3,241.6","565.4","2,413.3","262.9"
"2013","Oregon","3,928,068","9,536","82","1,000","2,394","5,596","125,083","20,808","94,363","9,912","242.8","2.1","25.5","60.9","142.5","3,184.3","529.7","2,402.3","252.3"
"2014","Oregon","3,970,239","9,224","81","1,052","2,093","5,592","114,305","17,230","87,526","9,549","232.3","2.0","26.5","52.7","140.8","2,879.0","434.0","2,204.6","240.5"
"2001","Pennsylvania","12,303,104","50,432","651","3,467","17,500","28,814","313,408","54,345","223,350","35,713","409.9","5.3","28.2","142.2","234.2","2,547.4","441.7","1,815.4","290.3"
"2002","Pennsylvania","12,328,827","49,578","624","3,731","17,163","28,060","300,868","55,610","212,441","32,817","402.1","5.1","30.3","139.2","227.6","2,440.4","451.1","1,723.1","266.2"
"2003","Pennsylvania","12,370,761","49,210","647","3,556","17,980","27,027","300,639","53,918","213,279","33,442","397.8","5.2","28.7","145.3","218.5","2,430.2","435.9","1,724.1","270.3"
"2004","Pennsylvania","12,394,471","50,998","650","3,535","18,474","28,339","299,611","54,443","214,199","30,969","411.5","5.2","28.5","149.1","228.6","2,417.3","439.3","1,728.2","249.9"
"2005","Pennsylvania","12,405,348","52,761","756","3,586","19,214","29,205","300,444","56,134","214,916","29,394","425.0","6.1","28.9","154.9","235.4","2,422.0","452.5","1,732.0","237.0"
"2006","Pennsylvania","12,440,621","55,028","741","3,611","21,095","29,581","304,589","57,739","217,142","29,708","442.3","6.0","29.0","169.6","237.8","2,448.3","464.1","1,745.4","238.8"
"2007","Pennsylvania","12,432,792","51,806","725","3,443","19,440","28,198","293,850","56,091","211,248","26,511","416.7","5.8","27.7","156.4","226.8","2,363.5","451.2","1,699.1","213.2"
"2008","Pennsylvania","12,448,279","51,044","705","3,485","18,873","27,981","300,294","58,687","219,115","22,492","410.0","5.7","28.0","151.6","224.8","2,412.3","471.4","1,760.2","180.7"
"2009","Pennsylvania","12,604,767","48,188","664","3,626","17,504","26,394","277,182","54,772","204,588","17,822","382.3","5.3","28.8","138.9","209.4","2,199.0","434.5","1,623.1","141.4"
"2010","Pennsylvania","12,717,722","46,612","653","3,472","16,375","26,112","276,366","55,206","204,440","16,720","366.5","5.1","27.3","128.8","205.3","2,173.1","434.1","1,607.5","131.5"
"2011","Pennsylvania","12,743,948","46,189","639","3,339","16,165","26,046","283,442","57,966","208,604","16,872","362.4","5.0","26.2","126.8","204.4","2,224.1","454.9","1,636.9","132.4"
"2012","Pennsylvania","12,764,475","45,384","707","3,371","15,735","25,571","276,562","57,040","204,409","15,113","355.5","5.5","26.4","123.3","200.3","2,166.7","446.9","1,601.4","118.4"
"2013","Pennsylvania","12,781,296","42,825","611","2,728","14,739","23,680","263,176","52,000","197,410","13,766","335.1","4.8","21.3","115.3","185.3","2,059.1","406.8","1,544.5","107.7"
"2014","Pennsylvania","12,787,209","40,164","614","2,787","13,534","22,189","247,016","45,720","188,256","13,040","314.1","4.8","21.8","105.8","173.5","1,931.7","357.5","1,472.2","102.0"
"2001","Rhode Island","1,059,659","3,278","39","416","986","1,837","35,742","6,824","23,875","5,043","309.3","3.7","39.3","93.0","173.4","3,373.0","644.0","2,253.1","475.9"
"2002","Rhode Island","1,068,326","3,051","41","395","916","1,699","35,342","6,415","24,051","4,876","285.6","3.8","37.0","85.7","159.0","3,308.2","600.5","2,251.3","456.4"
"2003","Rhode Island","1,076,084","3,074","25","505","830","1,714","32,231","5,524","22,320","4,387","285.7","2.3","46.9","77.1","159.3","2,995.2","513.3","2,074.2","407.7"
"2004","Rhode Island","1,079,916","2,673","26","320","731","1,596","31,166","5,465","21,623","4,078","247.5","2.4","29.6","67.7","147.8","2,886.0","506.1","2,002.3","377.6"
"2005","Rhode Island","1,073,579","2,710","34","323","776","1,577","29,287","5,319","19,567","4,401","252.0","3.2","30.1","72.3","146.9","2,728.0","495.4","1,823.0","410.0"
"2006","Rhode Island","1,067,610","2,460","27","289","740","1,404","27,914","5,453","18,852","3,609","230.4","2.5","27.1","69.3","131.5","2,614.6","510.8","1,765.8","338.0"
"2007","Rhode Island","1,057,832","2,424","19","258","760","1,387","27,576","5,206","19,175","3,195","229.1","1.8","24.4","71.8","131.1","2,606.8","492.1","1,812.7","302.0"
"2008","Rhode Island","1,050,788","2,656","31","282","880","1,463","29,895","5,766","20,926","3,203","252.8","3.0","26.8","83.7","139.2","2,845.0","548.7","1,991.5","304.8"
"2009","Rhode Island","1,053,209","2,678","32","296","785","1,565","27,558","5,753","19,403","2,402","254.3","3.0","28.1","74.5","148.6","2,616.6","546.2","1,842.3","228.1"
"2010","Rhode Island","1,052,528","2,709","29","298","782","1,600","26,959","6,124","18,432","2,403","257.4","2.8","28.3","74.3","152.0","2,561.4","581.8","1,751.2","228.3"
"2011","Rhode Island","1,050,646","2,586","20","319","744","1,503","27,976","6,836","18,765","2,375","246.1","1.9","30.4","70.8","143.1","2,662.7","650.6","1,786.0","226.1"
"2012","Rhode Island","1,050,304","2,657","36","292","715","1,614","27,039","5,929","18,478","2,632","253.0","3.4","27.8","68.1","153.7","2,574.4","564.5","1,759.3","250.6"
"2013","Rhode Island","1,053,354","2,710","31","333","683","1,547","25,741","5,621","17,881","2,239","257.3","2.9","31.6","64.8","146.9","2,443.7","533.6","1,697.5","212.6"
"2014","Rhode Island","1,055,173","2,313","25","253","529","1,398","22,935","4,823","16,279","1,833","219.2","2.4","24.0","50.1","132.5","2,173.6","457.1","1,542.8","173.7"
"2001","South Carolina","4,062,125","33,114","330","1,769","5,987","25,028","186,054","42,611","126,742","16,701","815.2","8.1","43.5","147.4","616.1","4,580.2","1,049.0","3,120.1","411.1"
"2002","South Carolina","4,103,770","33,761","298","1,959","5,774","25,730","183,808","43,745","123,196","16,867","822.7","7.3","47.7","140.7","627.0","4,479.0","1,066.0","3,002.0","411.0"
"2003","South Carolina","4,148,744","33,455","303","1,952","5,801","25,399","187,592","43,993","127,809","15,790","806.4","7.3","47.1","139.8","612.2","4,521.7","1,060.4","3,080.7","380.6"
"2004","South Carolina","4,197,892","33,160","286","1,772","5,468","25,634","190,456","43,739","130,991","15,726","789.9","6.8","42.2","130.3","610.6","4,536.9","1,041.9","3,120.4","374.6"
"2005","South Carolina","4,246,933","32,590","314","1,862","5,657","24,757","185,606","42,741","126,489","16,376","767.0","7.4","43.8","133.2","582.9","4,370.0","1,006.4","2,978.0","386.0"
"2006","South Carolina","4,321,249","33,322","362","1,834","5,902","25,224","184,712","42,952","125,075","16,685","771.1","8.4","42.4","136.6","583.7","4,274.5","994.0","2,894.4","386.1"
"2007","South Carolina","4,407,709","34,630","364","1,773","6,354","26,139","189,304","45,398","126,802","17,104","785.7","8.3","40.2","144.2","593.0","4,294.8","1,030.0","2,876.8","388.0"
"2008","South Carolina","4,479,800","32,746","307","1,686","6,595","24,158","189,950","45,964","126,316","17,670","731.0","6.9","37.6","147.2","539.3","4,240.1","1,026.0","2,819.7","394.4"
"2009","South Carolina","4,561,242","30,799","305","1,663","5,753","23,078","178,310","45,443","119,250","13,617","675.2","6.7","36.5","126.1","506.0","3,909.2","996.3","2,614.4","298.5"
"2010","South Carolina","4,637,106","27,923","265","1,551","5,017","21,090","181,098","46,261","121,544","13,293","602.2","5.7","33.4","108.2","454.8","3,905.4","997.6","2,621.1","286.7"
"2011","South Carolina","4,673,348","27,894","320","1,678","4,631","21,265","183,243","47,351","122,255","13,637","596.9","6.8","35.9","99.1","455.0","3,921.0","1,013.2","2,616.0","291.8"
"2012","South Carolina","4,723,417","26,474","332","1,712","4,511","19,919","181,049","45,222","122,340","13,487","560.5","7.0","36.2","95.5","421.7","3,833.0","957.4","2,590.1","285.5"
"2013","South Carolina","4,771,929","24,263","305","1,739","3,965","17,760","173,261","40,930","119,730","12,601","508.5","6.4","36.4","83.1","372.2","3,630.8","857.7","2,509.0","264.1"
"2014","South Carolina","4,832,482","24,052","311","1,480","3,997","17,676","167,217","36,721","117,594","12,902","497.7","6.4","30.6","82.7","365.8","3,460.3","759.9","2,433.4","267.0"
"2001","South Dakota","758,324","1,171","7","351","103","710","16,473","3,087","12,571","815","154.4",".9","46.3","13.6","93.6","2,172.3","407.1","1,657.7","107.5"
"2002","South Dakota","760,437","1,350","11","361","117","861","15,992","3,034","12,139","819","177.5","1.4","47.5","15.4","113.2","2,103.0","399.0","1,596.3","107.7"
"2003","South Dakota","764,905","1,329","10","356","104","859","15,324","2,878","11,572","874","173.7","1.3","46.5","13.6","112.3","2,003.4","376.3","1,512.9","114.3"
"2004","South Dakota","770,621","1,319","17","336","112","854","14,885","3,148","10,890","847","171.2","2.2","43.6","14.5","110.8","1,931.6","408.5","1,413.1","109.9"
"2005","South Dakota","774,883","1,387","18","377","145","847","13,694","2,505","10,350","839","179.0","2.3","48.7","18.7","109.3","1,767.0","323.3","1,336.0","108.0"
"2006","South Dakota","781,919","2,071","30","465","158","1,418","13,812","3,024","9,954","834","264.9","3.8","59.5","20.2","181.3","1,766.4","386.7","1,273.0","106.7"
"2007","South Dakota","796,214","1,926","31","433","118","1,344","13,829","2,647","10,398","784","241.9","3.9","54.4","14.8","168.8","1,736.8","332.4","1,305.9","98.5"
"2008","South Dakota","804,194","2,227","37","562","134","1,494","13,867","2,683","10,266","918","276.9","4.6","69.9","16.7","185.8","1,724.3","333.6","1,276.6","114.2"
"2009","South Dakota","812,383","1,777","30","501","117","1,129","14,378","2,621","10,891","866","218.7","3.7","61.7","14.4","139.0","1,769.9","322.6","1,340.6","106.6"
"2010","South Dakota","816,598","2,196","23","385","154","1,634","15,188","3,192","11,196","800","268.9","2.8","47.1","18.9","200.1","1,859.9","390.9","1,371.1","98.0"
"2011","South Dakota","823,593","2,105","20","503","167","1,415","15,299","2,927","11,423","949","255.6","2.4","61.1","20.3","171.8","1,857.6","355.4","1,387.0","115.2"
"2012","South Dakota","834,047","2,701","23","600","157","1,921","17,326","3,280","12,973","1,073","323.8","2.8","71.9","18.8","230.3","2,077.3","393.3","1,555.4","128.6"
"2013","South Dakota","845,510","2,733","18","454","156","2,052","16,274","3,383","11,955","936","323.2","2.1","53.7","18.5","242.7","1,924.8","400.1","1,413.9","110.7"
"2014","South Dakota","853,175","2,786","20","413","200","2,096","15,902","2,818","12,077","1,007","326.5","2.3","48.4","23.4","245.7","1,863.9","330.3","1,415.5","118.0"
"2001","Tennessee","5,749,398","42,776","423","2,196","10,219","29,938","252,992","59,705","165,015","28,272","744.0","7.4","38.2","177.7","520.7","4,400.3","1,038.5","2,870.1","491.7"
"2002","Tennessee","5,789,796","41,562","420","2,290","9,413","29,439","249,399","61,248","161,610","26,541","717.8","7.3","39.6","162.6","508.5","4,307.6","1,057.9","2,791.3","458.4"
"2003","Tennessee","5,845,208","40,409","396","2,129","9,413","28,471","256,565","63,323","166,769","26,473","691.3","6.8","36.4","161.0","487.1","4,389.3","1,083.3","2,853.1","452.9"
"2004","Tennessee","5,893,298","41,113","357","2,282","8,863","29,611","254,991","60,386","169,828","24,777","697.6","6.1","38.7","150.4","502.5","4,326.8","1,024.7","2,881.7","420.4"
"2005","Tennessee","5,955,745","45,104","431","2,194","10,009","32,470","256,093","61,508","169,357","25,228","757.0","7.2","36.8","168.1","545.2","4,300.0","1,032.8","2,844.0","424.0"
"2006","Tennessee","6,038,803","46,043","419","2,194","11,143","32,287","249,860","63,024","164,183","22,653","762.5","6.9","36.3","184.5","534.7","4,137.6","1,043.7","2,718.8","375.1"
"2007","Tennessee","6,156,719","46,482","405","2,201","11,033","32,843","252,342","61,817","168,807","21,718","755.0","6.6","35.7","179.2","533.4","4,098.6","1,004.1","2,741.8","352.8"
"2008","Tennessee","6,214,888","44,913","412","2,078","10,804","31,619","251,089","65,093","166,793","19,203","722.7","6.6","33.4","173.8","508.8","4,040.1","1,047.4","2,683.8","309.0"
"2009","Tennessee","6,296,254","41,933","468","2,019","9,653","29,793","237,157","63,832","158,309","15,016","666.0","7.4","32.1","153.3","473.2","3,766.6","1,013.8","2,514.3","238.5"
"2010","Tennessee","6,357,436","38,909","359","2,173","8,361","28,016","232,855","64,293","153,729","14,833","612.0","5.6","34.2","131.5","440.7","3,662.7","1,011.3","2,418.1","233.3"
"2011","Tennessee","6,399,787","38,895","380","2,095","8,082","28,338","230,900","62,830","153,928","14,142","607.8","5.9","32.7","126.3","442.8","3,607.9","981.8","2,405.2","221.0"
"2012","Tennessee","6,454,914","41,213","400","2,047","8,151","30,615","217,925","56,231","148,731","12,963","638.5","6.2","31.7","126.3","474.3","3,376.1","871.1","2,304.2","200.8"
"2013","Tennessee","6,497,269","38,063","335","1,904","7,333","27,895","207,683","51,334","144,443","11,906","585.8","5.2","29.3","112.9","429.3","3,196.5","790.1","2,223.1","183.2"
"2014","Tennessee","6,549,352","39,848","371","1,861","7,265","29,681","200,447","46,642","141,206","12,599","608.4","5.7","28.4","110.9","453.2","3,060.6","712.2","2,156.0","192.4"
"2001","Texas","21,370,983","122,155","1,332","8,169","35,348","77,306","976,654","204,362","669,625","102,667","571.6","6.2","38.2","165.4","361.7","4,570.0","956.3","3,133.3","480.4"
"2002","Texas","21,736,925","126,018","1,302","8,508","37,580","78,628","1,004,274","212,602","688,992","102,680","579.7","6.0","39.1","172.9","361.7","4,620.1","978.1","3,169.7","472.4"
"2003","Texas","22,103,374","122,246","1,422","8,025","37,017","75,782","1,016,735","219,877","698,644","98,214","553.1","6.4","36.3","167.5","342.9","4,599.9","994.8","3,160.8","444.3"
"2004","Texas","22,471,549","121,554","1,364","8,388","35,817","75,985","1,010,702","220,118","696,507","94,077","540.9","6.1","37.3","159.4","338.1","4,497.7","979.5","3,099.5","418.6"
"2005","Texas","22,928,508","121,091","1,407","8,511","35,790","75,383","990,293","219,828","677,042","93,423","528.0","6.1","37.1","156.1","328.8","4,319.0","958.8","2,953.0","408.0"
"2006","Texas","23,507,783","121,602","1,386","8,429","37,256","74,531","959,846","215,710","648,711","95,425","517.3","5.9","35.9","158.5","317.0","4,083.1","917.6","2,759.6","405.9"
"2007","Texas","23,904,380","122,014","1,419","8,460","38,778","73,357","985,421","228,320","663,101","94,000","510.4","5.9","35.4","162.2","306.9","4,122.3","955.1","2,774.0","393.2"
"2008","Texas","24,326,974","123,585","1,370","8,055","37,739","76,421","969,865","230,046","654,435","85,384","508.0","5.6","33.1","155.1","314.1","3,986.8","945.6","2,690.2","351.0"
"2009","Texas","24,782,302","121,684","1,330","8,311","38,022","74,021","995,082","240,058","678,455","76,569","491.0","5.4","33.5","153.4","298.7","4,015.3","968.7","2,737.7","309.0"
"2010","Texas","25,253,466","113,231","1,249","7,622","32,843","71,517","951,246","228,597","654,626","68,023","448.4","4.9","30.2","130.1","283.2","3,766.8","905.2","2,592.2","269.4"
